random_seed,phase_error_sd_radians,trial,minimum_gap_over_candidates,all_nine_positive
20260907,0.2,64,0.10642367521570517,1
20260907,0.2,65,0.10702800500907392,1
20260907,0.2,66,0.10606821128569618,1
20260907,0.2,67,0.10510466743478068,1
20260907,0.2,68,0.10673745945575996,1
20260907,0.2,69,0.10629521312255033,1
20260907,0.2,70,0.10685924156171242,1
20260907,0.2,71,0.102024754544077,1
20260907,0.2,72,0.1043197591286833,1
20260907,0.2,73,0.10699370131089242,1
20260907,0.2,74,0.10765890905001468,1
20260907,0.2,75,0.10617635804350806,1
20260907,0.2,76,0.10611522308741436,1
20260907,0.2,77,0.10366505306790175,1
20260907,0.2,78,0.10509977804889337,1
20260907,0.2,79,0.10725245779002862,1
20260907,0.2,80,0.10514410168059729,1
20260907,0.2,81,0.10675539550814492,1
20260907,0.2,82,0.10642551701187315,1
20260907,0.2,83,0.10634469457898077,1
20260907,0.2,84,0.10324494167449161,1
20260907,0.2,85,0.1075852508015347,1
20260907,0.2,86,0.10486452841275995,1
20260907,0.2,87,0.10555234010871689,1
20260907,0.2,88,0.10419763906208368,1
20260907,0.2,89,0.10630200064454576,1
20260907,0.2,90,0.10498057984996942,1
