hidden_ring_states,cycle_affinity,coherence_bound,minimum_extra_decay_at_omega_4
42,11.0,1.7375174652822085,2.3021351324087655
43,11.0,1.7381199530043308,2.3013371390657027
44,11.0,1.7386821521184161,2.3005930066782976
45,11.0,1.7392075698294402,2.2998979934248274
46,11.0,1.7396993405133454,2.2992478682090502
47,11.0,1.7401602722048604,2.2986388460252702
48,11.0,1.7405928864716502,2.298067532671805
49,11.0,1.7409994527269548,2.297530877298518
50,11.0,1.7413820178485313,2.2970261315446336
51,11.0,1.7417424318225259,2.2965508142409305
52,11.0,1.7420823700096209,2.296102680826688
53,11.0,1.7424033525318292,2.2956796967749926
54,11.0,1.7427067611971787,2.2952800144369325
55,11.0,1.7429938543128287,2.2949019528109527
56,11.0,1.7432657796820414,2.2945439798224974
57,11.0,1.7435235860348135,2.2942046967640684
58,11.0,1.7437682331039908,2.293882824599809
59,11.0,1.7440006005270596,2.293577191883505
60,11.0,1.744221495727289,2.293286724076358
4,12.0,0.9051482536448667,4.419165571930046
5,12.0,1.1474271290090319,3.4860601591794107
6,12.0,1.31911977286292,3.032325102154064
7,12.0,1.442731080876217,2.7725194618879847
8,12.0,1.533385214980452,2.6086073877078517
9,12.0,1.6011829827866404,2.4981529550348744
10,12.0,1.6528686109969515,2.4200350671474986
11,12.0,1.6929866798328004,2.36268840602753
12,12.0,1.7246447099436533,2.319318278679373
13,12.0,1.7500040959849763,2.285708935868879
14,12.0,1.7705949352447274,2.2591276640284352
15,12.0,1.787519327891024,2.2377380415345414
16,12.0,1.8015843010243804,2.2202680150607446
17,12.0,1.8133900318432872,2.2058133825374857
18,12.0,1.823389343138678,2.1937168904994415
19,12.0,1.8319284725275453,2.183491364420537
20,12.0,1.839275448110176,2.1747694202681447
21,12.0,1.8456401348423688,2.167269731778795
22,12.0,1.8511885981827718,2.1607738962559617
23,12.0,1.8560535339703603,2.1551102523661783
24,12.0,1.8603419372361165,2.1501423582068697
25,12.0,1.864140807428732,2.1457606550211867
26,12.0,1.8675214397542452,2.14187634736144
27,12.0,1.870542686454749,2.138416850342627
